05/Feb/2017 00:38:37,2377,1140,1,search
05/Feb/2017 00:38:37,1978,2210,2,search
05/Feb/2017 00:38:40,2377,1110,1,search
05/Feb/2017 00:38:40,1978,2240,2,search
05/Feb/2017 00:38:43,2377,1140,1,search
05/Feb/2017 00:38:43,1978,2225,2,search
05/Feb/2017 00:38:46,2377,1110,1,search
05/Feb/2017 00:38:46,1978,2245,2,search
05/Feb/2017 00:38:49,2377,1140,1,search
05/Feb/2017 00:38:49,1978,2235,2,search
05/Feb/2017 00:38:52,2377,1150,1,search
05/Feb/2017 00:38:52,1978,2235,2,search
05/Feb/2017 00:38:56,2377,1130,1,search
05/Feb/2017 00:38:56,1978,2235,2,search
05/Feb/2017 00:38:59,2377,1120,1,search
05/Feb/2017 00:38:59,1978,225,2,search
05/Feb/2017 00:39:02,2377,1150,1,search
05/Feb/2017 00:39:02,1978,2220,2,search
05/Feb/2017 00:39:05,2377,1140,1,search
05/Feb/2017 00:39:07,1556,1120,1,search
